id,place,longitude,latitude,class
1, jaistambh chowk raipur,21.2376284,81.5962147,1
2,sejbahar,21.1948,81.6497,1
3,Datrenga,21.1583,81.6416,1
4,kolar,21.1583,81.6616,1
5,khorpa,21.116,81.6672,1
6,khilora,21.1581,81.6635,1
7,chachanpari,21.1159,81.6668,1
8,naya raipur,21.164993,81.775307,1
9,Mujgahan,21.158,81.6647,1
10,kabir nagar,21.27813,81.6142,1
11,khilora,21.1581,81.6635,1
12,Datrenga,21.1599,81.643,0
13,chachanpari,21.1259,81.6668,0
14,Tatibandh,21.2596,81.5705,1
15,khorpa,21.216,81.6872,0
